id,lat,lon,number,score,rural,tax,azmua,pchpsa,fedmuap,mpc1,mpc2,mpc3,travel2,travel3
Snowflake,34.50727,-110.29872,14,34,RURAL,No,(See PC HPSAs),Geographic::(Snowflake/Heber),38.10::MUA::(Navajo County),Snowflake,Taylor,Show Low,Less than or equal to 20 minutes,21 to 30 minutes
Somerton,32.59427,-114.73189,88,54,RURAL,No,(See PC HPSAs),County::(Yuma County),No,Somerton,San Luis,Yuma,Less than or equal to 20 minutes,Less than or equal to 20 minutes
South Mountain Village & Guadalupe,33.38173,-112.0457,41,50,URBAN,A,(See PC HPSAs),Geographic::(Ahwatukee)::Geographic::(Guadalupe)::Geographic HN::(Phoenix-South,49.00::MUA::(Guadalupe)::59.60::MUA::(South Mountain),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Springerville,34.32325,-109.46858,17,42,FRONTIER,No,(See PC HPSAs),Geographic::(Round Valley)::Geographic HN::(Saint Johns),35.90::MUA::(Apache County),Eagar,Springerville,Saint Johns,Less than or equal to 20 minutes,31 to 40 minutes
Sun City,33.61639,-112.28463,59,40,URBAN,A,No,No,No,Sun City,Peoria,El Mirage,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Sun City West,33.66978,-112.36695,55,38,URBAN,A,(See PC HPSAs),Geographic::(Wickenburg),61.10::MUA::(Wickenburg),Sun City West,Surprise,El Mirage,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Sun Lakes,33.2181,-111.86703,81,34,URBAN,A,No,No,No,Sun Lakes,Chandler,Sacaton,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Surprise North & Wickenburg,33.81899,-112.84696,46,30,URBAN,A,(See PC HPSAs),Geographic::(Wickenburg),61.10::MUA::(Wickenburg),Wickenburg,Morristown,Wittmann,Less than or equal to 20 minutes,21 to 30 minutes
Surprise South,33.63289,-112.39011,47,18,URBAN,A,(See PC HPSAs),Geographic::(El Mirage),53.70::MUA::(El Mirage),Surprise,El Mirage,Sun City West,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Tanque Verde,32.37463,-110.63823,98,18,URBAN,No,No,No,No,Tanque Verde,Oro Valley,Corona De Tucson,21 to 30 minutes,21 to 30 minutes
Tempe North,33.42025,-111.92813,71,30,URBAN,A,(See PC HPSAs),P Low Inc.::(Tempe),52.40::MUA::(North Tempe),Tempe,Mesa,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Tempe South,33.34916,-111.93272,72,14,URBAN,A,(See PC HPSAs),Geographic::(Ahwatukee)::P Low Inc.::(Tempe),No,Tempe,Mesa,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Thatcher,32.86449,-109.78283,84,28,RURAL,A,(See PC HPSAs),Geographic::(Bonita/Klondyke)::Geographic::(Graham-Southern)::Geographic::(Pima),59.90::MUP-Low Inc::(Graham County),Thatcher,Central,Safford,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Tohono O'odham Nation,32.07288,-111.97324,82,72,INDIAN,No,(See PC HPSAs),Native American::(Tohono OOdham Nation),No,Sells,Tucson,Marana,more than 80 minutes,more than 80 minutes
Tucson Central,32.25023,-110.96318,107,44,URBAN,No,(See PC HPSAs),Geographic HN::(Tucson-Central)::Geographic HN::(Tucson-Southwest),58.70::MUA::(South Tucson),Tucson,Oro Valley,Cortaro,Less than or equal to 20 minutes,Less than or equal to 20 minutes
