id	date	r1	r2	TG92300
GAS-TG700734-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700734-095_S74_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700734-095_S74_L001_R2_001.fastq.gz	89.72%
GAS-TG700736-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700736-095_S75_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700736-095_S75_L001_R2_001.fastq.gz	89.96%
GAS-TG700738-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700738-095_S76_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700738-095_S76_L001_R2_001.fastq.gz	89.66%
GAS-TG700740-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700740-095_S77_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700740-095_S77_L001_R2_001.fastq.gz	91.10%
GAS-TG700742-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700742-095_S78_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700742-095_S78_L001_R2_001.fastq.gz	89.90%
GAS-TG700744-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700744-095_S79_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700744-095_S79_L001_R2_001.fastq.gz	91.12%
GAS-TG700746-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700746-095_S80_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700746-095_S80_L001_R2_001.fastq.gz	89.94%
GAS-TG700748-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700748-095_S81_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700748-095_S81_L001_R2_001.fastq.gz	92.29%
GAS-TG700750-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700750-095_S82_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700750-095_S82_L001_R2_001.fastq.gz	89.88%
GAS-TG700752-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700752-095_S83_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700752-095_S83_L001_R2_001.fastq.gz	88.95%
GAS-TG700754-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700754-095_S84_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700754-095_S84_L001_R2_001.fastq.gz	89.97%
GAS-TG700756-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700756-095_S85_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700756-095_S85_L001_R2_001.fastq.gz	89.98%
GAS-TG700758-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700758-095_S86_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700758-095_S86_L001_R2_001.fastq.gz	91.36%
GAS-TG700760-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700760-095_S87_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700760-095_S87_L001_R2_001.fastq.gz	83.64%
GAS-TG700762-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700762-095_S88_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700762-095_S88_L001_R2_001.fastq.gz	88.84%
GAS-TG700764-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700764-095_S89_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700764-095_S89_L001_R2_001.fastq.gz	89.54%
GAS-TG700766-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700766-095_S90_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700766-095_S90_L001_R2_001.fastq.gz	90.04%
GAS-TG700770-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700770-095_S92_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700770-095_S92_L001_R2_001.fastq.gz	92.30%
GAS-TG700772-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700772-095_S93_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700772-095_S93_L001_R2_001.fastq.gz	89.61%
